link,tags,diff,submission
https://codeforces.com/problemset/problem/2025/G,data structures,, x8
https://codeforces.com/problemset/problem/2025/F,"dfs and similar, dp, graphs, greedy, trees",, x91
https://codeforces.com/problemset/problem/2025/E,"brute force, combinatorics, dp, greedy, math",, x371
https://codeforces.com/problemset/problem/2025/D,"brute force, data structures, dp, implementation, math",, x1910
https://codeforces.com/problemset/problem/2025/C,"binary search, brute force, greedy, implementation, sortings, two pointers",, x7504
https://codeforces.com/problemset/problem/2025/B,"combinatorics, dp, math",, x10554
https://codeforces.com/problemset/problem/2025/A,"binary search, greedy, strings, two pointers",, x16457
https://codeforces.com/problemset/problem/2022/E2,"binary search, combinatorics, data structures, dfs and similar, dsu, graphs",, x171
https://codeforces.com/problemset/problem/2022/E1,"2-sat, binary search, combinatorics, dfs and similar, dsu, graphs",, x214
https://codeforces.com/problemset/problem/2022/D2,"constructive algorithms, interactive",, x258
https://codeforces.com/problemset/problem/2022/D1,"binary search, constructive algorithms, implementation, interactive",, x1778
https://codeforces.com/problemset/problem/2022/C,"dp, implementation",, x2275
https://codeforces.com/problemset/problem/2022/B,"greedy, math",, x6635
https://codeforces.com/problemset/problem/2022/A,"greedy, implementation, math",, x10362
https://codeforces.com/problemset/problem/2021/E3,"data structures, dfs and similar, dp, dsu, graphs, greedy, math, trees",2800.0, x315
https://codeforces.com/problemset/problem/2021/E2,"data structures, dp, dsu, graphs, math, trees",2500.0, x621
https://codeforces.com/problemset/problem/2021/E1,"brute force, data structures, dfs and similar, dp, dsu, fft, graphs, greedy, implementation, math, trees",2300.0, x1229
https://codeforces.com/problemset/problem/2021/D,"dp, greedy, implementation",2500.0, x488
https://codeforces.com/problemset/problem/2021/C2,"constructive algorithms, data structures, greedy, implementation, sortings",1900.0, x3010
https://codeforces.com/problemset/problem/2021/C1,"constructive algorithms, greedy",1300.0, x9936
https://codeforces.com/problemset/problem/2021/B,"brute force, greedy, math, number theory",1200.0, x12197
https://codeforces.com/problemset/problem/2021/A,"data structures, greedy, math, sortings",800.0, x16570
https://codeforces.com/problemset/problem/2020/F,"dp, math, number theory",2900.0, x157
https://codeforces.com/problemset/problem/2020/E,"bitmasks, dp, math, probabilities",2000.0, x2653
https://codeforces.com/problemset/problem/2020/D,"brute force, dp, dsu, graphs, math, trees",1800.0, x5028
https://codeforces.com/problemset/problem/2020/C,"bitmasks, hashing, implementation, math, schedules, ternary search",1400.0, x10918
https://codeforces.com/problemset/problem/2020/B,"binary search, math",1200.0, x14842
https://codeforces.com/problemset/problem/2020/A,"bitmasks, brute force, greedy, math, number theory",800.0, x20295
https://codeforces.com/problemset/problem/2019/B,"implementation, math",1200.0, x12826
https://codeforces.com/problemset/problem/2019/A,"brute force, dp, greedy",800.0, x21114
https://codeforces.com/problemset/problem/2018/F3,"dp, greedy, math",3100.0, x144
https://codeforces.com/problemset/problem/2018/F2,"dp, greedy, math",3000.0, x144
https://codeforces.com/problemset/problem/2018/F1,"combinatorics, dp, greedy, math",2900.0, x179
https://codeforces.com/problemset/problem/2018/E2,"binary search, data structures, divide and conquer, dsu, greedy, math, sortings",3400.0, x93
https://codeforces.com/problemset/problem/2018/E1,"binary search, data structures, divide and conquer, dsu, greedy, math, sortings",3300.0, x120
https://codeforces.com/problemset/problem/2018/D,"data structures, dp, dsu, greedy, implementation, matrices, sortings",2200.0, x1390
https://codeforces.com/problemset/problem/2018/C,"brute force, dfs and similar, greedy, sortings, trees",1700.0, x5468
https://codeforces.com/problemset/problem/2018/B,"binary search, data structures, dp, greedy, implementation, two pointers",1900.0, x3458
https://codeforces.com/problemset/problem/2018/A,"2-sat, brute force, greedy, implementation, math",1600.0, x9238
https://codeforces.com/problemset/problem/2014/H,"data structures, divide and conquer, greedy, hashing",1900.0, x3138
https://codeforces.com/problemset/problem/2014/G,"brute force, data structures, greedy, implementation",2200.0, x1109
https://codeforces.com/problemset/problem/2014/F,"dfs and similar, dp, greedy, trees",2000.0, x3167
https://codeforces.com/problemset/problem/2014/E,"dfs and similar, graphs, shortest paths",1800.0, x5063
https://codeforces.com/problemset/problem/2014/D,"brute force, data structures, greedy, sortings",1400.0, x11004
https://codeforces.com/problemset/problem/2014/C,"binary search, greedy, math",1100.0, x19721
https://codeforces.com/problemset/problem/2014/B,math,800.0, x26140
https://codeforces.com/problemset/problem/2014/A,"greedy, implementation",800.0, x33695
https://codeforces.com/problemset/problem/2013/F2,"binary search, data structures, trees",3500.0, x84
https://codeforces.com/problemset/problem/2013/F1,"binary search, brute force, data structures, dp, games, greedy, implementation, trees",2700.0, x432
https://codeforces.com/problemset/problem/2013/E,"brute force, dp, greedy, math, number theory",2200.0, x2864
https://codeforces.com/problemset/problem/2013/D,"binary search, greedy",1900.0, x5506
https://codeforces.com/problemset/problem/2013/C,"constructive algorithms, interactive, strings",1400.0, x10912
https://codeforces.com/problemset/problem/2013/B,"constructive algorithms, greedy, math",900.0, x21357
https://codeforces.com/problemset/problem/2013/A,"constructive algorithms, math",800.0, x25562
https://codeforces.com/problemset/problem/2011/I,"*special problem, data structures, divide and conquer",, x7
https://codeforces.com/problemset/problem/2011/H,"*special problem, graphs, greedy",, x36
https://codeforces.com/problemset/problem/2011/G,*special problem,, x28
https://codeforces.com/problemset/problem/2011/F,"*special problem, data structures, greedy",, x102
https://codeforces.com/problemset/problem/2011/E,"*special problem, greedy, strings",, x150
https://codeforces.com/problemset/problem/2011/D,*special problem,, x249
https://codeforces.com/problemset/problem/2011/C,*special problem,, x331
https://codeforces.com/problemset/problem/2011/B,*special problem,, x598
https://codeforces.com/problemset/problem/2011/A,*special problem,, x965
https://codeforces.com/problemset/problem/2010/C2,"hashing, string suffix structures, strings, two pointers",1700.0, x2832
https://codeforces.com/problemset/problem/2010/C1,"brute force, strings",1400.0, x6470
https://codeforces.com/problemset/problem/2010/B,"brute force, implementation, math",800.0, x18139
https://codeforces.com/problemset/problem/2010/A,"brute force, implementation, math",800.0, x15377
https://codeforces.com/problemset/problem/2009/G3,"data structures, dp, implementation",2700.0, x289
https://codeforces.com/problemset/problem/2009/G2,"binary search, data structures, dp",2200.0, x1098
https://codeforces.com/problemset/problem/2009/G1,"binary search, data structures, two pointers",1900.0, x3542
https://codeforces.com/problemset/problem/2009/F,"bitmasks, data structures, flows, math",1700.0, x6083
https://codeforces.com/problemset/problem/2009/E,"binary search, math, ternary search",1400.0, x12316
https://codeforces.com/problemset/problem/2009/D,"geometry, math",1400.0, x13412
https://codeforces.com/problemset/problem/2009/C,"implementation, math",1100.0, x24286
https://codeforces.com/problemset/problem/2009/B,"brute force, implementation",800.0, x39161
https://codeforces.com/problemset/problem/2009/A,"brute force, math",800.0, x47226
