link,diff
https://leetcode.com/problems/minimum-string-length-after-removing-substrings/?envType=daily-question&envId=2024-10-07,Easy
https://leetcode.com/problems/two-sum,Easy
https://leetcode.com/problems/add-two-numbers,Medium
https://leetcode.com/problems/longest-substring-without-repeating-characters,Medium
https://leetcode.com/problems/median-of-two-sorted-arrays,Hard
https://leetcode.com/problems/longest-palindromic-substring,Medium
https://leetcode.com/problems/zigzag-conversion,Medium
https://leetcode.com/problems/reverse-integer,Medium
https://leetcode.com/problems/string-to-integer-atoi,Medium
https://leetcode.com/problems/palindrome-number,Easy
https://leetcode.com/problems/regular-expression-matching,Hard
https://leetcode.com/problems/container-with-most-water,Medium
https://leetcode.com/problems/integer-to-roman,Medium
https://leetcode.com/problems/roman-to-integer,Easy
https://leetcode.com/problems/longest-common-prefix,Easy
https://leetcode.com/problems/3sum,Medium
https://leetcode.com/problems/3sum-closest,Medium
https://leetcode.com/problems/letter-combinations-of-a-phone-number,Medium
https://leetcode.com/problems/4sum,Medium
https://leetcode.com/problems/remove-nth-node-from-end-of-list,Medium
https://leetcode.com/problems/valid-parentheses,Easy
https://leetcode.com/problems/merge-two-sorted-lists,Easy
https://leetcode.com/problems/generate-parentheses,Medium
https://leetcode.com/problems/merge-k-sorted-lists,Hard
https://leetcode.com/problems/swap-nodes-in-pairs,Medium
https://leetcode.com/problems/reverse-nodes-in-k-group,Hard
https://leetcode.com/problems/remove-duplicates-from-sorted-array,Easy
https://leetcode.com/problems/remove-element,Easy
https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Easy
https://leetcode.com/problems/divide-two-integers,Medium
https://leetcode.com/problems/substring-with-concatenation-of-all-words,Hard
https://leetcode.com/problems/next-permutation,Medium
https://leetcode.com/problems/longest-valid-parentheses,Hard
https://leetcode.com/problems/search-in-rotated-sorted-array,Medium
https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Medium
https://leetcode.com/problems/search-insert-position,Easy
https://leetcode.com/problems/valid-sudoku,Medium
https://leetcode.com/problems/sudoku-solver,Hard
https://leetcode.com/problems/count-and-say,Medium
https://leetcode.com/problems/combination-sum,Medium
https://leetcode.com/problems/combination-sum-ii,Medium
https://leetcode.com/problems/first-missing-positive,Hard
https://leetcode.com/problems/trapping-rain-water,Hard
https://leetcode.com/problems/multiply-strings,Medium
https://leetcode.com/problems/wildcard-matching,Hard
https://leetcode.com/problems/jump-game-ii,Medium
https://leetcode.com/problems/permutations,Medium
https://leetcode.com/problems/permutations-ii,Medium
https://leetcode.com/problems/rotate-image,Medium
https://leetcode.com/problems/group-anagrams,Medium
https://leetcode.com/problems/powx-n,Medium
https://leetcode.com/problems/n-queens,Hard
https://leetcode.com/problems/n-queens-ii,Hard
https://leetcode.com/problems/maximum-subarray,Medium
https://leetcode.com/problems/spiral-matrix,Medium
https://leetcode.com/problems/jump-game,Medium
https://leetcode.com/problems/merge-intervals,Medium
https://leetcode.com/problems/insert-interval,Medium
https://leetcode.com/problems/length-of-last-word,Easy
https://leetcode.com/problems/spiral-matrix-ii,Medium
https://leetcode.com/problems/permutation-sequence,Hard
https://leetcode.com/problems/rotate-list,Medium
https://leetcode.com/problems/unique-paths,Medium
https://leetcode.com/problems/unique-paths-ii,Medium
https://leetcode.com/problems/minimum-path-sum,Medium
https://leetcode.com/problems/valid-number,Hard
https://leetcode.com/problems/plus-one,Easy
https://leetcode.com/problems/add-binary,Easy
https://leetcode.com/problems/text-justification,Hard
https://leetcode.com/problems/sqrtx,Easy
https://leetcode.com/problems/climbing-stairs,Easy
https://leetcode.com/problems/simplify-path,Medium
https://leetcode.com/problems/edit-distance,Medium
