,id,name,accepted,submission,difficulty,link,website,upvotes,comments
0,1,"Life, the Universe, and Everything  ",71742,217007,Difficulty: Implementation 4/50 Concept 3/50,https://www.spoj.com/problems/TEST,spoj,300,100
1,2,Prime Generator,12879,80047,Difficulty: Implementation 15/50 Concept 13/50,https://www.spoj.com/problems/PRIME1,spoj,627,209
2,3,Substring Check (Bug Funny),78,1068,Difficulty: Implementation 42/50 Concept 16/50,https://www.spoj.com/problems/SBSTR1,spoj,8,2
3,4,Transform the Expression,21322,43311,Difficulty: Implementation 12/50 Concept 11/50,https://www.spoj.com/problems/ONP,spoj,258,86
4,5,The Next Palindrome,2163,20147,Difficulty: Implementation 25/50 Concept 18/50,https://www.spoj.com/problems/PALIN,spoj,452,150
5,6,Simple Arithmetics,368,3029,Difficulty: Implementation 30/50 Concept 9/50,https://www.spoj.com/problems/ARITH,spoj,11,3
6,7,The Bulk!,80,511,Difficulty: Implementation 30/50 Concept 24/50,https://www.spoj.com/problems/BULK,spoj,6,2
7,8,Complete the Sequence!,1650,4413,Difficulty: Implementation 16/50 Concept 18/50,https://www.spoj.com/problems/CMPLS,spoj,32,10
8,9,Direct Visibility,30,256,Difficulty: Implementation 30/50 Concept 21/50,https://www.spoj.com/problems/DIRVS,spoj,4,1
9,10,Complicated Expressions,498,1555,Difficulty: Implementation 17/50 Concept 17/50,https://www.spoj.com/problems/CMEXPR,spoj,11,3
10,11,Factorial,26443,58842,Difficulty: Implementation 6/50 Concept 12/50,https://www.spoj.com/problems/FCTRL,spoj,174,58
11,12,The Game of Master-Mind,352,757,Difficulty: Implementation 17/50 Concept 17/50,https://www.spoj.com/problems/MMIND,spoj,1,0
12,13,Hotline,34,206,Difficulty: Implementation 34/50 Concept 23/50,https://www.spoj.com/problems/HOTLINE,spoj,2,0
13,14,I-Keyboard,557,1284,Difficulty: Implementation 23/50 Concept 22/50,https://www.spoj.com/problems/IKEYB,spoj,7,2
14,15,The Shortest Path,1819,7554,Difficulty: Implementation 17/50 Concept 12/50,https://www.spoj.com/problems/SHPATH,spoj,156,52
15,16,Sphere in a tetrahedron,1968,3508,Difficulty: Implementation 11/50 Concept 16/50,https://www.spoj.com/problems/TETRA,spoj,12,4
16,17,The Bytelandian Cryptographer (Act I),571,1366,Difficulty: Implementation 15/50 Concept 26/50,https://www.spoj.com/problems/CRYPTO1,spoj,9,3
17,18,The Bytelandian Cryptographer (Act II),196,666,Difficulty: Implementation 25/50 Concept 1/50,https://www.spoj.com/problems/CRYPTO2,spoj,4,1
18,19,The Bytelandian Cryptographer (Act III),45,128,Difficulty: Implementation 17/50 Concept 26/50,https://www.spoj.com/problems/CRYPTO3,spoj,1,0
19,20,The Bytelandian Cryptographer (Act IV),14,55,Difficulty: Implementation 21/50 Concept 34/50,https://www.spoj.com/problems/CRYPTO4,spoj,2,0
20,22,Triangle From Centroid,1232,2668,Difficulty: Implementation 9/50 Concept 22/50,https://www.spoj.com/problems/TRICENTR,spoj,9,3
21,23,Pyramids,2080,5642,Difficulty: Implementation 9/50 Concept 15/50,https://www.spoj.com/problems/PIR,spoj,-20,-6
22,24,Small factorials,14872,50176,Difficulty: Implementation 15/50 Concept 9/50,https://www.spoj.com/problems/FCTRL2,spoj,154,51
23,25,Pouring water,1313,5418,Difficulty: Implementation 19/50 Concept 22/50,https://www.spoj.com/problems/POUR1,spoj,100,33
24,26,Build the Fence,626,2224,Difficulty: Implementation 22/50 Concept 17/50,https://www.spoj.com/problems/BSHEEP,spoj,37,12
25,27,Sorting Bank Accounts,3550,8791,Difficulty: Implementation 11/50 Concept 6/50,https://www.spoj.com/problems/SBANK,spoj,53,17
26,28,Help the Military Recruitment Office!,126,784,Difficulty: Implementation 12/50 Concept 8/50,https://www.spoj.com/problems/HMRO,spoj,7,2
27,29,Hash it!,867,3594,Difficulty: Implementation 14/50 Concept 8/50,https://www.spoj.com/problems/HASHIT,spoj,14,4
28,30,Bytelandian Blingors Network,1466,3746,Difficulty: Implementation 14/50 Concept 10/50,https://www.spoj.com/problems/BLINNET,spoj,54,18
29,31,Fast Multiplication,1842,8866,Difficulty: Implementation 15/50 Concept 12/50,https://www.spoj.com/problems/MUL,spoj,48,16
30,32,A Needle in the Haystack,4229,11060,Difficulty: Implementation 15/50 Concept 14/50,https://www.spoj.com/problems/NHAY,spoj,193,64
31,33,Trip,525,1993,Difficulty: Implementation 25/50 Concept 16/50,https://www.spoj.com/problems/TRIP,spoj,18,6
32,34,Run Away,107,492,Difficulty: Implementation 26/50 Concept 34/50,https://www.spoj.com/problems/RUNAWAY,spoj,2,0
33,35,Equipment Box,191,1312,Difficulty: Implementation 8/50 Concept 21/50,https://www.spoj.com/problems/EQBOX,spoj,6,2
34,36,Secret Code,197,546,Difficulty: Implementation 17/50 Concept 17/50,https://www.spoj.com/problems/CODE1,spoj,6,2
35,37,The Proper Key,18,135,Difficulty: Implementation 17/50 Concept 17/50,https://www.spoj.com/problems/PROPKEY,spoj,1,0
36,38,Labyrinth,1367,5309,Difficulty: Implementation 18/50 Concept 16/50,https://www.spoj.com/problems/LABYR1,spoj,98,32
37,39,Piggy-Bank,2877,8120,Difficulty: Implementation 14/50 Concept 16/50,https://www.spoj.com/problems/PIGBANK,spoj,140,46
38,40,Lifting the Stone,380,1615,Difficulty: Implementation 13/50 Concept 16/50,https://www.spoj.com/problems/STONE,spoj,6,2
39,41,Play on Words,625,3228,Difficulty: Implementation 21/50 Concept 24/50,https://www.spoj.com/problems/WORDS1,spoj,42,14
40,42,Adding Reversed Numbers,37971,78698,Difficulty: Implementation 6/50 Concept 4/50,https://www.spoj.com/problems/ADDREV,spoj,103,34
41,43,Copying Books,709,2772,Difficulty: Implementation 19/50 Concept 19/50,https://www.spoj.com/problems/BOOKS1,spoj,45,15
42,44,Substitution Cipher,44,325,Difficulty: Implementation 17/50 Concept 17/50,https://www.spoj.com/problems/SCYPHER,spoj,2,0
43,45,Commedia dell Arte,81,241,Difficulty: Implementation 5/50 Concept 26/50,https://www.spoj.com/problems/COMMEDIA,spoj,2,0
44,47,Skyscraper Floors,36,286,Difficulty: Implementation 23/50 Concept 20/50,https://www.spoj.com/problems/SCRAPER,spoj,7,2
45,48,Glass Beads,1289,3405,Difficulty: Implementation 15/50 Concept 18/50,https://www.spoj.com/problems/BEADS,spoj,29,9
46,49,Hares and Foxes,8,107,Difficulty: Implementation 17/50 Concept 26/50,https://www.spoj.com/problems/HAREFOX,spoj,1,0
47,50,Invitation Cards,744,1734,Difficulty: Implementation 16/50 Concept 18/50,https://www.spoj.com/problems/INCARDS,spoj,29,9
48,51,Fake tournament,490,1800,Difficulty: Implementation 18/50 Concept 19/50,https://www.spoj.com/problems/TOUR,spoj,43,14
49,54,Julka,6344,23123,Difficulty: Implementation 19/50 Concept 6/50,https://www.spoj.com/problems/JULKA,spoj,163,54
50,55,Jasiek  ,130,465,Difficulty: Implementation 21/50 Concept 13/50,https://www.spoj.com/problems/JASIEK,spoj,3,1
51,56,Dyzio,381,1213,Difficulty: Implementation 11/50 Concept 14/50,https://www.spoj.com/problems/DYZIO,spoj,8,2
52,57,Supernumbers in a permutation,348,1067,Difficulty: Implementation 17/50 Concept 19/50,https://www.spoj.com/problems/SUPPER,spoj,22,7
53,58,Crime at Piccadily Circus,89,640,Difficulty: Implementation 31/50 Concept 21/50,https://www.spoj.com/problems/PICAD,spoj,3,1
54,59,Bytelandian Information Agency,80,413,Difficulty: Implementation 17/50 Concept 23/50,https://www.spoj.com/problems/BIA,spoj,2,0
55,60,The Gordian Dance,81,210,Difficulty: Implementation 12/50 Concept 45/50,https://www.spoj.com/problems/DANCE,spoj,3,1
56,61,Brackets,1329,5446,Difficulty: Implementation 19/50 Concept 20/50,https://www.spoj.com/problems/BRCKTS,spoj,175,58
57,62,The Imp,88,292,Difficulty: Implementation 17/50 Concept 23/50,https://www.spoj.com/problems/IMP,spoj,1,0
58,63,Square Brackets,2190,3854,Difficulty: Implementation 14/50 Concept 18/50,https://www.spoj.com/problems/SQRBR,spoj,92,30
59,64,Permutations,2247,4324,Difficulty: Implementation 12/50 Concept 20/50,https://www.spoj.com/problems/PERMUT1,spoj,98,32
60,65,Ball,54,154,Difficulty: Implementation 17/50 Concept 23/50,https://www.spoj.com/problems/BALL1,spoj,2,0
61,66,Cross-country,2629,4076,Difficulty: Implementation 11/50 Concept 12/50,https://www.spoj.com/problems/CRSCNTRY,spoj,38,12
62,67,Cutting out,127,296,Difficulty: Implementation 30/50 Concept 27/50,https://www.spoj.com/problems/CUTOUT,spoj,2,0
63,68,Expression,48,163,Difficulty: Implementation 1/50 Concept 34/50,https://www.spoj.com/problems/EXPR1,spoj,0,0
64,69,Moulds,47,132,Difficulty: Implementation 12/50 Concept 12/50,https://www.spoj.com/problems/MOULDS,spoj,2,0
65,70,Relations,71,250,Difficulty: Implementation 9/50 Concept 17/50,https://www.spoj.com/problems/RELATS1,spoj,2,0
66,71,Tree,128,451,Difficulty: Implementation 12/50 Concept 9/50,https://www.spoj.com/problems/TREE1,spoj,3,1
67,73,Bacterial,13,70,Difficulty: Implementation 50/50 Concept 17/50,https://www.spoj.com/problems/BAC,spoj,1,0
68,75,Editor,16,51, ,https://www.spoj.com/problems/EDIT1,spoj,0,0
69,76,Editor Inverse,9,64, ,https://www.spoj.com/problems/EDIT2,spoj,0,0
70,77,New bricks disorder,107,285,Difficulty: Implementation 17/50 Concept 17/50,https://www.spoj.com/problems/BRICKS,spoj,1,0
71,78,Marbles,2785,7968,Difficulty: Implementation 15/50 Concept 13/50,https://www.spoj.com/problems/MARBLES,spoj,68,22
72,82,Easy Problem,171,494,Difficulty: Implementation 17/50 Concept 9/50,https://www.spoj.com/problems/EASYPIE,spoj,4,1
73,83,Bundling,21,52,Difficulty: Implementation 17/50 Concept 17/50,https://www.spoj.com/problems/BUNDLE,spoj,1,0
74,84,Shortcut,73,233,Difficulty: Implementation 17/50 Concept 9/50,https://www.spoj.com/problems/SHORTCUT,spoj,1,0
75,85,Dice Contest,10,47,Difficulty: Implementation 34/50 Concept 34/50,https://www.spoj.com/problems/DICE1,spoj,0,0
76,86,November Rain,51,294,Difficulty: Implementation 21/50 Concept 21/50,https://www.spoj.com/problems/RAIN1,spoj,4,1
77,87,Football,13,63,Difficulty: Implementation 17/50 Concept 1/50,https://www.spoj.com/problems/FOOTBALL,spoj,1,0
78,88,Which is Next,26,129,Difficulty: Implementation 34/50 Concept 34/50,https://www.spoj.com/problems/TREE2,spoj,1,0
79,89,Hang or not to hang,9,61,Difficulty: Implementation 17/50 Concept 17/50,https://www.spoj.com/problems/HANGLET,spoj,1,0
80,90,Minimizing maximizer,91,373,Difficulty: Implementation 17/50 Concept 26/50,https://www.spoj.com/problems/MINIMAX,spoj,3,1
81,91,Two squares or not two squares,1485,6037,Difficulty: Implementation 11/50 Concept 14/50,https://www.spoj.com/problems/TWOSQRS,spoj,79,26
82,92,Cutting off Squares,108,255,Difficulty: Implementation 1/50 Concept 1/50,https://www.spoj.com/problems/CUTSQRS,spoj,-1,0
83,94,Numeral System of the Maya,1045,2581,Difficulty: Implementation 10/50 Concept 6/50,https://www.spoj.com/problems/MAYA,spoj,4,1
84,95,Street Parade,5305,18283,Difficulty: Implementation 14/50 Concept 11/50,https://www.spoj.com/problems/STPAR,spoj,318,106
85,96,Shopping,1350,3060,Difficulty: Implementation 15/50 Concept 11/50,https://www.spoj.com/problems/SHOP,spoj,46,15
86,97,Party Schedule,3204,8856,Difficulty: Implementation 14/50 Concept 16/50,https://www.spoj.com/problems/PARTY,spoj,251,83
87,98,Dance Floor,289,718,Difficulty: Implementation 12/50 Concept 12/50,https://www.spoj.com/problems/DFLOOR,spoj,3,1
88,99,Bus,41,186,Difficulty: Implementation 34/50 Concept 17/50,https://www.spoj.com/problems/BUS,spoj,0,0
